study_folder,file_name,variable_name,file_type,variable_group
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sleepy_post,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sleepy_pre,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tense_post,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tense_pre,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,thirst_post,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,thirst_pre,intake,questionnaire
1990_sociofeed_dannys_dinner,assay-intake_data.csv,time,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_cal,intake,total_intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_cho,intake,total_intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_cho_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_fat,intake,total_intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_fat_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_pro,intake,total_intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_pro_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce,intake,other
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce_cal,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce_cho,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce_fat,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce_pro,intake,intake
1990_sociofeed_dannys_dinner,assay-intake_data.csv,water,intake,other
1990_sss_age_yogurt,assay-demo_data.csv,agegroup,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,bmi,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,cvd_risk,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,dentures,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,eat,demographics,questionnaire
1990_sss_age_yogurt,assay-demo_data.csv,ei,demographics,questionnaire
1990_sss_age_yogurt,assay-demo_data.csv,eisc,demographics,questionnaire
1990_sss_age_yogurt,assay-demo_data.csv,id,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,lsi,demographics,questionnaire
1990_sss_age_yogurt,assay-demo_data.csv,meds,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,session,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,sex,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,upsitsc,demographics,other
1990_sss_age_yogurt,assay-demo_data.csv,zung,demographics,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,agegroup,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,banana_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,banana_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,banana_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,banana_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,bologna_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,bologna_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,bologna_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,bologna_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,broccoli_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,broccoli_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,broccoli_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,broccoli_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,celery_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,celery_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,celery_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,celery_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cheddar_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cheddar_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cheddar_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cheddar_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cheeseburger_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cheeseburger_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cheeseburger_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cheeseburger_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cherry_pie_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cherry_pie_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cherry_pie_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cherry_pie_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,choc_icecream_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,choc_icecream_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,choc_icecream_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,choc_icecream_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cinn_roll_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cinn_roll_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cinn_roll_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cinn_roll_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cucumber_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cucumber_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cucumber_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,cucumber_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,diet_cola_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,diet_cola_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,diet_cola_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,diet_cola_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,fries_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,fries_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,fries_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,fries_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,gingerbread_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,gingerbread_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,gingerbread_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,gingerbread_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,grape_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,grape_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,grape_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,grape_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,grapefruit_juice_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,grapefruit_juice_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,grapefruit_juice_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,grapefruit_juice_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,id,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,jello_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,jello_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,jello_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,jello_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,lemon_pie_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,lemon_pie_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,lemon_pie_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,lemon_pie_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,lowf_cotcheese_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,lowf_cotcheese_like_change,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,lowf_cotcheese_perc_cal,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,lowf_cotcheese_taste,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,onion_ring_freq_eat,food_preference,questionnaire
1990_sss_age_yogurt,assay-foodpref_data.csv,onion_ring_like_change,food_preference,questionnaire
