file_path,file_name,study_folder,file_type
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-44e6_assay-microstructure_cond-deprivaiton.csv",sub-44e6_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-44fa_assay-microstructure_cond-control.csv",sub-44fa_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-44fa_assay-microstructure_cond-deprivaiton.csv",sub-44fa_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-46db_assay-microstructure_cond-control.csv",sub-46db_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-46db_assay-microstructure_cond-deprivaiton.csv",sub-46db_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-4750_assay-microstructure_cond-control.csv",sub-4750_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-4750_assay-microstructure_cond-deprivaiton.csv",sub-4750_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-4769_assay-microstructure_cond-control.csv",sub-4769_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-4769_assay-microstructure_cond-deprivaiton.csv",sub-4769_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-4ca4_assay-microstructure_cond-control.csv",sub-4ca4_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-4ca4_assay-microstructure_cond-deprivaiton.csv",sub-4ca4_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-5181_assay-microstructure_cond-control.csv",sub-5181_assay-microstructure_cond-control.csv,data,microstructure
