study_folder,file_name,n_rows,n_variables,total_missing,percent_missing_overall,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete,intake_macros_computed
1991_ivig_preload,exp-ivig_assay-rating_data.csv,936,11,2134,20.73,20.37,19.19% - 23.62%,302,0,No
1991_ivig_preload,exp-yogurtsss_assay-intake_data.csv,30,107,98,3.05,3.05,1.87% - 4.36%,0,10,Yes
1991_ivig_preload,exp-yogurtsss_assay-rating_data.csv,36,19,109,15.94,15.94,15.79% - 16.23%,23,0,No
1992_eatdis_deprivation,assay-demo_data.csv,49,13,197,30.93,30.93,0% - 76.92%,3,6,No
1992_eatdis_deprivation,assay-intake_data.csv,98,91,15,0.17,0.17,0% - 2.2%,87,49,Yes
data,sub-015c_assay-microstructure_timepoint-a.csv,308,9,0,0,0,0% - 0%,308,1,No
data,sub-015c_assay-microstructure_timepoint-b.csv,128,9,0,0,0,0% - 0%,128,1,No
data,sub-0343_assay-microstructure_cond-control.csv,89,18,712,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-0343_assay-microstructure_cond-deprivaiton.csv,40,18,320,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-044b_assay-microstructure_timepoint-a.csv,151,9,0,0,0,0% - 0%,151,1,No
data,sub-044b_assay-microstructure_timepoint-b.csv,133,9,0,0,0,0% - 0%,133,1,No
data,sub-04db_assay-microstructure_cond-control.csv,94,18,752,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-04db_assay-microstructure_cond-deprivaiton.csv,143,18,1144,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-0a40_assay-microstructure_cond-control.csv,110,18,880,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-0a40_assay-microstructure_cond-deprivaiton.csv,97,18,776,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-0a94_assay-microstructure_cond-control.csv,123,18,984,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-0a94_assay-microstructure_cond-deprivaiton.csv,133,18,1064,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-10bb_assay-microstructure_cond-control.csv,144,18,1152,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-10bb_assay-microstructure_cond-deprivaiton.csv,105,18,840,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-117e_assay-microstructure_timepoint-a.csv,161,9,0,0,0,0% - 0%,161,1,No
data,sub-117e_assay-microstructure_timepoint-b.csv,150,9,0,0,0,0% - 0%,150,1,No
data,sub-12e3_assay-microstructure_timepoint-a.csv,151,9,0,0,0,0% - 0%,151,1,No
data,sub-12e3_assay-microstructure_timepoint-b.csv,133,9,0,0,0,0% - 0%,133,1,No
data,sub-13c8_assay-microstructure_cond-control.csv,113,14,678,42.86,42.86,42.86% - 42.86%,0,0,No
data,sub-13c8_assay-microstructure_cond-deprivaiton.csv,185,16,1295,43.75,43.75,43.75% - 43.75%,0,0,No
data,sub-159b_assay-microstructure_cond-control.csv,172,18,1376,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-159b_assay-microstructure_cond-deprivaiton.csv,223,18,1784,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-1cac_assay-microstructure_cond-control.csv,97,18,776,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-1cac_assay-microstructure_cond-deprivaiton.csv,117,18,936,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-1f20_assay-microstructure_cond-control.csv,80,18,640,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-1f20_assay-microstructure_cond-deprivaiton.csv,149,18,1192,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-20e1_assay-microstructure_cond-control.csv,81,18,648,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-20e1_assay-microstructure_cond-deprivaiton.csv,104,18,832,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-26b1_assay-microstructure_timepoint-a.csv,92,9,0,0,0,0% - 0%,92,1,No
data,sub-26b1_assay-microstructure_timepoint-b.csv,82,9,0,0,0,0% - 0%,82,1,No
data,sub-291b_assay-microstructure_cond-control.csv,144,18,1152,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-291b_assay-microstructure_cond-deprivaiton.csv,105,18,840,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-2a94_assay-microstructure_timepoint-a.csv,133,9,0,0,0,0% - 0%,133,1,No
data,sub-2a94_assay-microstructure_timepoint-b.csv,152,9,0,0,0,0% - 0%,152,1,No
data,sub-2ed4_assay-microstructure_cond-control.csv,91,18,728,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-2ed4_assay-microstructure_cond-deprivaiton.csv,90,18,720,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-31e8_assay-microstructure_timepoint-a.csv,1,9,0,0,0,0% - 0%,1,1,No
data,sub-31e8_assay-microstructure_timepoint-b.csv,137,9,0,0,0,0% - 0%,137,1,No
data,sub-3520_assay-microstructure_timepoint-a.csv,151,9,0,0,0,0% - 0%,151,1,No
data,sub-3520_assay-microstructure_timepoint-b.csv,133,9,0,0,0,0% - 0%,133,1,No
data,sub-3749_assay-microstructure_timepoint-a.csv,308,9,0,0,0,0% - 0%,308,1,No
data,sub-3749_assay-microstructure_timepoint-b.csv,128,9,0,0,0,0% - 0%,128,1,No
data,sub-3ba4_assay-microstructure_timepoint-a.csv,62,9,0,0,0,0% - 0%,62,1,No
data,sub-3ba4_assay-microstructure_timepoint-b.csv,63,9,0,0,0,0% - 0%,63,1,No
data,sub-408d_assay-microstructure_cond-control.csv,123,18,984,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-408d_assay-microstructure_cond-deprivaiton.csv,133,18,1064,44.44,44.44,44.44% - 44.44%,0,0,No
