study,Dataset,Data group,# variables observed,Total data points,Total missing,% missing overall,Mean % missing by participant,Range of % missing by participant,# complete cases,# participants ≥85% complete
1992_eatdis_mealtime,sub-3520_assay-microstructure_timepoint-b.csv,Questionnaire data,4,532,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-3749_assay-microstructure_timepoint-a.csv,All data,9,2772,0,0,0,0.00% - 0.00%,308,308
1992_eatdis_mealtime,sub-3749_assay-microstructure_timepoint-a.csv,Questionnaire data,4,1232,0,0,0,0.00% - 0.00%,308,308
1992_eatdis_mealtime,sub-3749_assay-microstructure_timepoint-b.csv,All data,9,1152,0,0,0,0.00% - 0.00%,128,128
1992_eatdis_mealtime,sub-3749_assay-microstructure_timepoint-b.csv,Questionnaire data,4,512,0,0,0,0.00% - 0.00%,128,128
1992_eatdis_mealtime,sub-3ba4_assay-microstructure_timepoint-a.csv,All data,9,558,0,0,0,0.00% - 0.00%,62,62
1992_eatdis_mealtime,sub-3ba4_assay-microstructure_timepoint-a.csv,Questionnaire data,4,248,0,0,0,0.00% - 0.00%,62,62
1992_eatdis_mealtime,sub-3ba4_assay-microstructure_timepoint-b.csv,All data,9,567,0,0,0,0.00% - 0.00%,63,63
1992_eatdis_mealtime,sub-3ba4_assay-microstructure_timepoint-b.csv,Questionnaire data,4,252,0,0,0,0.00% - 0.00%,63,63
1992_eatdis_mealtime,sub-4299_assay-microstructure_timepoint-a.csv,All data,9,2772,0,0,0,0.00% - 0.00%,308,308
1992_eatdis_mealtime,sub-4299_assay-microstructure_timepoint-a.csv,Questionnaire data,4,1232,0,0,0,0.00% - 0.00%,308,308
1992_eatdis_mealtime,sub-4299_assay-microstructure_timepoint-b.csv,All data,9,1152,0,0,0,0.00% - 0.00%,128,128
1992_eatdis_mealtime,sub-4299_assay-microstructure_timepoint-b.csv,Questionnaire data,4,512,0,0,0,0.00% - 0.00%,128,128
1992_eatdis_mealtime,sub-42ff_assay-microstructure_timepoint-a.csv,All data,9,9,0,0,0,0.00% - 0.00%,1,1
1992_eatdis_mealtime,sub-42ff_assay-microstructure_timepoint-a.csv,Questionnaire data,4,4,0,0,0,0.00% - 0.00%,1,1
1992_eatdis_mealtime,sub-42ff_assay-microstructure_timepoint-b.csv,All data,9,1233,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_mealtime,sub-42ff_assay-microstructure_timepoint-b.csv,Questionnaire data,4,548,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_mealtime,sub-4325_assay-microstructure_timepoint-a.csv,All data,9,558,0,0,0,0.00% - 0.00%,62,62
1992_eatdis_mealtime,sub-4325_assay-microstructure_timepoint-a.csv,Questionnaire data,4,248,0,0,0,0.00% - 0.00%,62,62
1992_eatdis_mealtime,sub-4325_assay-microstructure_timepoint-b.csv,All data,9,567,0,0,0,0.00% - 0.00%,63,63
1992_eatdis_mealtime,sub-4325_assay-microstructure_timepoint-b.csv,Questionnaire data,4,252,0,0,0,0.00% - 0.00%,63,63
1992_eatdis_mealtime,sub-43c1_assay-microstructure_timepoint-a.csv,All data,9,1080,0,0,0,0.00% - 0.00%,120,120
1992_eatdis_mealtime,sub-43c1_assay-microstructure_timepoint-a.csv,Questionnaire data,4,480,0,0,0,0.00% - 0.00%,120,120
1992_eatdis_mealtime,sub-43c1_assay-microstructure_timepoint-b.csv,All data,9,837,0,0,0,0.00% - 0.00%,93,93
1992_eatdis_mealtime,sub-43c1_assay-microstructure_timepoint-b.csv,Questionnaire data,4,372,0,0,0,0.00% - 0.00%,93,93
1992_eatdis_mealtime,sub-4805_assay-microstructure_timepoint-a.csv,All data,9,2070,0,0,0,0.00% - 0.00%,230,230
1992_eatdis_mealtime,sub-4805_assay-microstructure_timepoint-a.csv,Questionnaire data,4,920,0,0,0,0.00% - 0.00%,230,230
1992_eatdis_mealtime,sub-4805_assay-microstructure_timepoint-b.csv,All data,9,1881,0,0,0,0.00% - 0.00%,209,209
1992_eatdis_mealtime,sub-4805_assay-microstructure_timepoint-b.csv,Questionnaire data,4,836,0,0,0,0.00% - 0.00%,209,209
1992_eatdis_mealtime,sub-4b22_assay-microstructure_timepoint-a.csv,All data,9,1197,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-4b22_assay-microstructure_timepoint-a.csv,Questionnaire data,4,532,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-4b22_assay-microstructure_timepoint-b.csv,All data,9,1368,0,0,0,0.00% - 0.00%,152,152
1992_eatdis_mealtime,sub-4b22_assay-microstructure_timepoint-b.csv,Questionnaire data,4,608,0,0,0,0.00% - 0.00%,152,152
1992_eatdis_mealtime,sub-4d17_assay-microstructure_timepoint-a.csv,All data,9,828,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_mealtime,sub-4d17_assay-microstructure_timepoint-a.csv,Questionnaire data,4,368,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_mealtime,sub-4d17_assay-microstructure_timepoint-b.csv,All data,9,738,0,0,0,0.00% - 0.00%,82,82
1992_eatdis_mealtime,sub-4d17_assay-microstructure_timepoint-b.csv,Questionnaire data,4,328,0,0,0,0.00% - 0.00%,82,82
1992_eatdis_mealtime,sub-54a6_assay-microstructure_timepoint-a.csv,All data,9,1089,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-54a6_assay-microstructure_timepoint-a.csv,Questionnaire data,4,484,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-54a6_assay-microstructure_timepoint-b.csv,All data,9,1107,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_mealtime,sub-54a6_assay-microstructure_timepoint-b.csv,Questionnaire data,4,492,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_mealtime,sub-570b_assay-microstructure_timepoint-a.csv,All data,9,1089,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-570b_assay-microstructure_timepoint-a.csv,Questionnaire data,4,484,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-570b_assay-microstructure_timepoint-b.csv,All data,9,1107,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_mealtime,sub-570b_assay-microstructure_timepoint-b.csv,Questionnaire data,4,492,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_mealtime,sub-57f5_assay-microstructure_timepoint-a.csv,All data,9,4428,0,0,0,0.00% - 0.00%,492,492
1992_eatdis_mealtime,sub-57f5_assay-microstructure_timepoint-a.csv,Questionnaire data,4,1968,0,0,0,0.00% - 0.00%,492,492
1992_eatdis_mealtime,sub-57f5_assay-microstructure_timepoint-b.csv,All data,9,2475,0,0,0,0.00% - 0.00%,275,275
1992_eatdis_mealtime,sub-57f5_assay-microstructure_timepoint-b.csv,Questionnaire data,4,1100,0,0,0,0.00% - 0.00%,275,275
1992_eatdis_mealtime,sub-612c_assay-microstructure_timepoint-a.csv,All data,9,1017,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_mealtime,sub-612c_assay-microstructure_timepoint-a.csv,Questionnaire data,4,452,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_mealtime,sub-612c_assay-microstructure_timepoint-b.csv,All data,9,594,0,0,0,0.00% - 0.00%,66,66
1992_eatdis_mealtime,sub-612c_assay-microstructure_timepoint-b.csv,Questionnaire data,4,264,0,0,0,0.00% - 0.00%,66,66
1992_eatdis_mealtime,sub-68fb_assay-microstructure_timepoint-a.csv,All data,9,1017,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_mealtime,sub-68fb_assay-microstructure_timepoint-a.csv,Questionnaire data,4,452,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_mealtime,sub-68fb_assay-microstructure_timepoint-b.csv,All data,9,594,0,0,0,0.00% - 0.00%,66,66
1992_eatdis_mealtime,sub-68fb_assay-microstructure_timepoint-b.csv,Questionnaire data,4,264,0,0,0,0.00% - 0.00%,66,66
1992_eatdis_mealtime,sub-6fa9_assay-microstructure_timepoint-a.csv,All data,9,1449,0,0,0,0.00% - 0.00%,161,161
1992_eatdis_mealtime,sub-6fa9_assay-microstructure_timepoint-a.csv,Questionnaire data,4,644,0,0,0,0.00% - 0.00%,161,161
1992_eatdis_mealtime,sub-6fa9_assay-microstructure_timepoint-b.csv,All data,9,1350,0,0,0,0.00% - 0.00%,150,150
1992_eatdis_mealtime,sub-6fa9_assay-microstructure_timepoint-b.csv,Questionnaire data,4,600,0,0,0,0.00% - 0.00%,150,150
1992_eatdis_mealtime,sub-761f_assay-microstructure_timepoint-a.csv,All data,9,783,0,0,0,0.00% - 0.00%,87,87
1992_eatdis_mealtime,sub-761f_assay-microstructure_timepoint-a.csv,Questionnaire data,4,348,0,0,0,0.00% - 0.00%,87,87
1992_eatdis_mealtime,sub-761f_assay-microstructure_timepoint-b.csv,All data,9,1251,0,0,0,0.00% - 0.00%,139,139
1992_eatdis_mealtime,sub-761f_assay-microstructure_timepoint-b.csv,Questionnaire data,4,556,0,0,0,0.00% - 0.00%,139,139
1992_eatdis_mealtime,sub-79fb_assay-microstructure_timepoint-a.csv,All data,9,828,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_mealtime,sub-79fb_assay-microstructure_timepoint-a.csv,Questionnaire data,4,368,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_mealtime,sub-79fb_assay-microstructure_timepoint-b.csv,All data,9,738,0,0,0,0.00% - 0.00%,82,82
1992_eatdis_mealtime,sub-79fb_assay-microstructure_timepoint-b.csv,Questionnaire data,4,328,0,0,0,0.00% - 0.00%,82,82
1992_eatdis_mealtime,sub-86cd_assay-microstructure_timepoint-a.csv,All data,9,918,0,0,0,0.00% - 0.00%,102,102
1992_eatdis_mealtime,sub-86cd_assay-microstructure_timepoint-a.csv,Questionnaire data,4,408,0,0,0,0.00% - 0.00%,102,102
1992_eatdis_mealtime,sub-86cd_assay-microstructure_timepoint-b.csv,All data,9,954,0,0,0,0.00% - 0.00%,106,106
1992_eatdis_mealtime,sub-86cd_assay-microstructure_timepoint-b.csv,Questionnaire data,4,424,0,0,0,0.00% - 0.00%,106,106
1992_eatdis_mealtime,sub-8b39_assay-microstructure_timepoint-a.csv,All data,9,558,0,0,0,0.00% - 0.00%,62,62
1992_eatdis_mealtime,sub-8b39_assay-microstructure_timepoint-a.csv,Questionnaire data,4,248,0,0,0,0.00% - 0.00%,62,62
1992_eatdis_mealtime,sub-8b39_assay-microstructure_timepoint-b.csv,All data,9,567,0,0,0,0.00% - 0.00%,63,63
1992_eatdis_mealtime,sub-8b39_assay-microstructure_timepoint-b.csv,Questionnaire data,4,252,0,0,0,0.00% - 0.00%,63,63
1992_eatdis_mealtime,sub-960c_assay-microstructure_timepoint-a.csv,All data,9,783,0,0,0,0.00% - 0.00%,87,87
1992_eatdis_mealtime,sub-960c_assay-microstructure_timepoint-a.csv,Questionnaire data,4,348,0,0,0,0.00% - 0.00%,87,87
1992_eatdis_mealtime,sub-960c_assay-microstructure_timepoint-b.csv,All data,9,1251,0,0,0,0.00% - 0.00%,139,139
1992_eatdis_mealtime,sub-960c_assay-microstructure_timepoint-b.csv,Questionnaire data,4,556,0,0,0,0.00% - 0.00%,139,139
1992_eatdis_mealtime,sub-9746_assay-microstructure_timepoint-a.csv,All data,9,918,0,0,0,0.00% - 0.00%,102,102
1992_eatdis_mealtime,sub-9746_assay-microstructure_timepoint-a.csv,Questionnaire data,4,408,0,0,0,0.00% - 0.00%,102,102
1992_eatdis_mealtime,sub-9746_assay-microstructure_timepoint-b.csv,All data,9,954,0,0,0,0.00% - 0.00%,106,106
1992_eatdis_mealtime,sub-9746_assay-microstructure_timepoint-b.csv,Questionnaire data,4,424,0,0,0,0.00% - 0.00%,106,106
1992_eatdis_mealtime,sub-9935_assay-microstructure_timepoint-a.csv,All data,9,1089,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-9935_assay-microstructure_timepoint-a.csv,Questionnaire data,4,484,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-9935_assay-microstructure_timepoint-b.csv,All data,9,630,0,0,0,0.00% - 0.00%,70,70
1992_eatdis_mealtime,sub-9935_assay-microstructure_timepoint-b.csv,Questionnaire data,4,280,0,0,0,0.00% - 0.00%,70,70
1992_eatdis_mealtime,sub-9996_assay-microstructure_timepoint-a.csv,All data,9,1089,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-9996_assay-microstructure_timepoint-a.csv,Questionnaire data,4,484,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-9996_assay-microstructure_timepoint-b.csv,All data,9,630,0,0,0,0.00% - 0.00%,70,70
1992_eatdis_mealtime,sub-9996_assay-microstructure_timepoint-b.csv,Questionnaire data,4,280,0,0,0,0.00% - 0.00%,70,70
1992_eatdis_mealtime,sub-9d62_assay-microstructure_timepoint-a.csv,All data,9,1044,0,0,0,0.00% - 0.00%,116,116
1992_eatdis_mealtime,sub-9d62_assay-microstructure_timepoint-a.csv,Questionnaire data,4,464,0,0,0,0.00% - 0.00%,116,116
1992_eatdis_mealtime,sub-9d62_assay-microstructure_timepoint-b.csv,All data,9,819,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_mealtime,sub-9d62_assay-microstructure_timepoint-b.csv,Questionnaire data,4,364,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_mealtime,sub-9ec8_assay-microstructure_timepoint-a.csv,All data,9,4428,0,0,0,0.00% - 0.00%,492,492
1992_eatdis_mealtime,sub-9ec8_assay-microstructure_timepoint-a.csv,Questionnaire data,4,1968,0,0,0,0.00% - 0.00%,492,492
1992_eatdis_mealtime,sub-9ec8_assay-microstructure_timepoint-b.csv,All data,9,2475,0,0,0,0.00% - 0.00%,275,275
1992_eatdis_mealtime,sub-9ec8_assay-microstructure_timepoint-b.csv,Questionnaire data,4,1100,0,0,0,0.00% - 0.00%,275,275
1992_eatdis_mealtime,sub-a72e_assay-microstructure_timepoint-a.csv,All data,9,1044,0,0,0,0.00% - 0.00%,116,116
1992_eatdis_mealtime,sub-a72e_assay-microstructure_timepoint-a.csv,Questionnaire data,4,464,0,0,0,0.00% - 0.00%,116,116
1992_eatdis_mealtime,sub-a72e_assay-microstructure_timepoint-b.csv,All data,9,819,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_mealtime,sub-a72e_assay-microstructure_timepoint-b.csv,Questionnaire data,4,364,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_mealtime,sub-aaca_assay-microstructure_timepoint-a.csv,All data,9,1044,0,0,0,0.00% - 0.00%,116,116
1992_eatdis_mealtime,sub-aaca_assay-microstructure_timepoint-a.csv,Questionnaire data,4,464,0,0,0,0.00% - 0.00%,116,116
1992_eatdis_mealtime,sub-aaca_assay-microstructure_timepoint-b.csv,All data,9,819,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_mealtime,sub-aaca_assay-microstructure_timepoint-b.csv,Questionnaire data,4,364,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_mealtime,sub-b134_assay-microstructure_timepoint-a.csv,All data,9,1449,0,0,0,0.00% - 0.00%,161,161
1992_eatdis_mealtime,sub-b134_assay-microstructure_timepoint-a.csv,Questionnaire data,4,644,0,0,0,0.00% - 0.00%,161,161
1992_eatdis_mealtime,sub-b134_assay-microstructure_timepoint-b.csv,All data,9,1350,0,0,0,0.00% - 0.00%,150,150
1992_eatdis_mealtime,sub-b134_assay-microstructure_timepoint-b.csv,Questionnaire data,4,600,0,0,0,0.00% - 0.00%,150,150
1992_eatdis_mealtime,sub-b451_assay-microstructure_timepoint-a.csv,All data,9,9,0,0,0,0.00% - 0.00%,1,1
1992_eatdis_mealtime,sub-b451_assay-microstructure_timepoint-a.csv,Questionnaire data,4,4,0,0,0,0.00% - 0.00%,1,1
1992_eatdis_mealtime,sub-b451_assay-microstructure_timepoint-b.csv,All data,9,1233,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_mealtime,sub-b451_assay-microstructure_timepoint-b.csv,Questionnaire data,4,548,0,0,0,0.00% - 0.00%,137,137
1992_eatdis_mealtime,sub-c4dc_assay-microstructure_timepoint-a.csv,All data,9,4428,0,0,0,0.00% - 0.00%,492,492
1992_eatdis_mealtime,sub-c4dc_assay-microstructure_timepoint-a.csv,Questionnaire data,4,1968,0,0,0,0.00% - 0.00%,492,492
1992_eatdis_mealtime,sub-c4dc_assay-microstructure_timepoint-b.csv,All data,9,2475,0,0,0,0.00% - 0.00%,275,275
1992_eatdis_mealtime,sub-c4dc_assay-microstructure_timepoint-b.csv,Questionnaire data,4,1100,0,0,0,0.00% - 0.00%,275,275
1992_eatdis_mealtime,sub-c524_assay-microstructure_timepoint-a.csv,All data,9,1017,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_mealtime,sub-c524_assay-microstructure_timepoint-a.csv,Questionnaire data,4,452,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_mealtime,sub-c524_assay-microstructure_timepoint-b.csv,All data,9,594,0,0,0,0.00% - 0.00%,66,66
1992_eatdis_mealtime,sub-c524_assay-microstructure_timepoint-b.csv,Questionnaire data,4,264,0,0,0,0.00% - 0.00%,66,66
1992_eatdis_mealtime,sub-c52c_assay-microstructure_timepoint-a.csv,All data,9,783,0,0,0,0.00% - 0.00%,87,87
1992_eatdis_mealtime,sub-c52c_assay-microstructure_timepoint-a.csv,Questionnaire data,4,348,0,0,0,0.00% - 0.00%,87,87
1992_eatdis_mealtime,sub-c52c_assay-microstructure_timepoint-b.csv,All data,9,1251,0,0,0,0.00% - 0.00%,139,139
1992_eatdis_mealtime,sub-c52c_assay-microstructure_timepoint-b.csv,Questionnaire data,4,556,0,0,0,0.00% - 0.00%,139,139
1992_eatdis_mealtime,sub-c5c4_assay-microstructure_timepoint-a.csv,All data,9,1080,0,0,0,0.00% - 0.00%,120,120
1992_eatdis_mealtime,sub-c5c4_assay-microstructure_timepoint-a.csv,Questionnaire data,4,480,0,0,0,0.00% - 0.00%,120,120
1992_eatdis_mealtime,sub-c5c4_assay-microstructure_timepoint-b.csv,All data,9,837,0,0,0,0.00% - 0.00%,93,93
1992_eatdis_mealtime,sub-c5c4_assay-microstructure_timepoint-b.csv,Questionnaire data,4,372,0,0,0,0.00% - 0.00%,93,93
1992_eatdis_mealtime,sub-cfd3_assay-microstructure_timepoint-a.csv,All data,9,918,0,0,0,0.00% - 0.00%,102,102
1992_eatdis_mealtime,sub-cfd3_assay-microstructure_timepoint-a.csv,Questionnaire data,4,408,0,0,0,0.00% - 0.00%,102,102
1992_eatdis_mealtime,sub-cfd3_assay-microstructure_timepoint-b.csv,All data,9,954,0,0,0,0.00% - 0.00%,106,106
1992_eatdis_mealtime,sub-cfd3_assay-microstructure_timepoint-b.csv,Questionnaire data,4,424,0,0,0,0.00% - 0.00%,106,106
1992_eatdis_mealtime,sub-d2aa_assay-microstructure_timepoint-a.csv,All data,9,1089,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-d2aa_assay-microstructure_timepoint-a.csv,Questionnaire data,4,484,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-d2aa_assay-microstructure_timepoint-b.csv,All data,9,630,0,0,0,0.00% - 0.00%,70,70
1992_eatdis_mealtime,sub-d2aa_assay-microstructure_timepoint-b.csv,Questionnaire data,4,280,0,0,0,0.00% - 0.00%,70,70
1992_eatdis_mealtime,sub-da6e_assay-microstructure_timepoint-a.csv,All data,9,2070,0,0,0,0.00% - 0.00%,230,230
1992_eatdis_mealtime,sub-da6e_assay-microstructure_timepoint-a.csv,Questionnaire data,4,920,0,0,0,0.00% - 0.00%,230,230
1992_eatdis_mealtime,sub-da6e_assay-microstructure_timepoint-b.csv,All data,9,1881,0,0,0,0.00% - 0.00%,209,209
1992_eatdis_mealtime,sub-da6e_assay-microstructure_timepoint-b.csv,Questionnaire data,4,836,0,0,0,0.00% - 0.00%,209,209
1992_eatdis_mealtime,sub-e6b2_assay-microstructure_timepoint-a.csv,All data,9,1197,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-e6b2_assay-microstructure_timepoint-a.csv,Questionnaire data,4,532,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_mealtime,sub-e6b2_assay-microstructure_timepoint-b.csv,All data,9,1368,0,0,0,0.00% - 0.00%,152,152
1992_eatdis_mealtime,sub-e6b2_assay-microstructure_timepoint-b.csv,Questionnaire data,4,608,0,0,0,0.00% - 0.00%,152,152
1992_eatdis_mealtime,sub-e7dc_assay-microstructure_timepoint-a.csv,All data,9,1089,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-e7dc_assay-microstructure_timepoint-a.csv,Questionnaire data,4,484,0,0,0,0.00% - 0.00%,121,121
1992_eatdis_mealtime,sub-e7dc_assay-microstructure_timepoint-b.csv,All data,9,1107,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_mealtime,sub-e7dc_assay-microstructure_timepoint-b.csv,Questionnaire data,4,492,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_mealtime,sub-eac6_assay-microstructure_timepoint-a.csv,All data,9,2070,0,0,0,0.00% - 0.00%,230,230
1992_eatdis_mealtime,sub-eac6_assay-microstructure_timepoint-a.csv,Questionnaire data,4,920,0,0,0,0.00% - 0.00%,230,230
1992_eatdis_mealtime,sub-eac6_assay-microstructure_timepoint-b.csv,All data,9,1881,0,0,0,0.00% - 0.00%,209,209
1992_eatdis_mealtime,sub-eac6_assay-microstructure_timepoint-b.csv,Questionnaire data,4,836,0,0,0,0.00% - 0.00%,209,209
1992_eatdis_mealtime,sub-f1e2_assay-microstructure_timepoint-a.csv,All data,9,1080,0,0,0,0.00% - 0.00%,120,120
1992_eatdis_mealtime,sub-f1e2_assay-microstructure_timepoint-a.csv,Questionnaire data,4,480,0,0,0,0.00% - 0.00%,120,120
1992_eatdis_mealtime,sub-f1e2_assay-microstructure_timepoint-b.csv,All data,9,837,0,0,0,0.00% - 0.00%,93,93
1992_eatdis_mealtime,sub-f1e2_assay-microstructure_timepoint-b.csv,Questionnaire data,4,372,0,0,0,0.00% - 0.00%,93,93
