study,Dataset,Data group,# variables observed,Total data points,Total missing,% missing overall,Mean % missing by participant,Range of % missing by participant,# complete cases,# participants ≥85% complete
1992_eatdis_deprivation,sub-0343_assay-microstructure_cond-deprivaiton.csv,All data,10,400,0,0,0,0.00% - 0.00%,40,40
1992_eatdis_deprivation,sub-0343_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,160,0,0,0,0.00% - 0.00%,40,40
1992_eatdis_deprivation,sub-04db_assay-microstructure_cond-control.csv,All data,10,940,0,0,0,0.00% - 0.00%,94,94
1992_eatdis_deprivation,sub-04db_assay-microstructure_cond-control.csv,Questionnaire data,4,376,0,0,0,0.00% - 0.00%,94,94
1992_eatdis_deprivation,sub-04db_assay-microstructure_cond-deprivaiton.csv,All data,10,1430,0,0,0,0.00% - 0.00%,143,143
1992_eatdis_deprivation,sub-04db_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,572,0,0,0,0.00% - 0.00%,143,143
1992_eatdis_deprivation,sub-0a40_assay-microstructure_cond-control.csv,All data,10,1100,0,0,0,0.00% - 0.00%,110,110
1992_eatdis_deprivation,sub-0a40_assay-microstructure_cond-control.csv,Questionnaire data,4,440,0,0,0,0.00% - 0.00%,110,110
1992_eatdis_deprivation,sub-0a40_assay-microstructure_cond-deprivaiton.csv,All data,10,970,0,0,0,0.00% - 0.00%,97,97
1992_eatdis_deprivation,sub-0a40_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,388,0,0,0,0.00% - 0.00%,97,97
1992_eatdis_deprivation,sub-0a94_assay-microstructure_cond-control.csv,All data,10,1230,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_deprivation,sub-0a94_assay-microstructure_cond-control.csv,Questionnaire data,4,492,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_deprivation,sub-0a94_assay-microstructure_cond-deprivaiton.csv,All data,10,1330,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_deprivation,sub-0a94_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,532,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_deprivation,sub-10bb_assay-microstructure_cond-control.csv,All data,10,1440,0,0,0,0.00% - 0.00%,144,144
1992_eatdis_deprivation,sub-10bb_assay-microstructure_cond-control.csv,Questionnaire data,4,576,0,0,0,0.00% - 0.00%,144,144
1992_eatdis_deprivation,sub-10bb_assay-microstructure_cond-deprivaiton.csv,All data,10,1050,0,0,0,0.00% - 0.00%,105,105
1992_eatdis_deprivation,sub-10bb_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,420,0,0,0,0.00% - 0.00%,105,105
1992_eatdis_deprivation,sub-13c8_assay-microstructure_cond-control.csv,All data,8,904,0,0,0,0.00% - 0.00%,113,113
1992_eatdis_deprivation,sub-13c8_assay-microstructure_cond-control.csv,Questionnaire data,3,339,0,0,0,0.00% - 0.00%,113,113
