study_folder,file_name,data_group,n_variables,total_data_points,total_missing,percent_missing_overall,percent_data_present,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete
1992_eatdis_deprivation,sub-159b_assay-microstructure_cond-deprivaiton.csv,Other data,10,2230,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-1cac_assay-microstructure_cond-control.csv,Other data,10,970,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-1cac_assay-microstructure_cond-deprivaiton.csv,Other data,10,1170,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-1f20_assay-microstructure_cond-control.csv,Other data,10,800,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-1f20_assay-microstructure_cond-deprivaiton.csv,Other data,10,1490,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-20e1_assay-microstructure_cond-control.csv,Other data,10,810,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-20e1_assay-microstructure_cond-deprivaiton.csv,Other data,10,1040,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-291b_assay-microstructure_cond-control.csv,Other data,10,1440,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-291b_assay-microstructure_cond-deprivaiton.csv,Other data,10,1050,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-2ed4_assay-microstructure_cond-control.csv,Other data,10,910,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-2ed4_assay-microstructure_cond-deprivaiton.csv,Other data,10,900,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-408d_assay-microstructure_cond-control.csv,Other data,10,1230,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-408d_assay-microstructure_cond-deprivaiton.csv,Other data,10,1330,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-42c5_assay-microstructure_cond-control.csv,Other data,10,810,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-42c5_assay-microstructure_cond-deprivaiton.csv,Other data,10,1040,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-44e6_assay-microstructure_cond-control.csv,Other data,8,1152,64,5.56,94.44,6.35,6.35% - 6.35%,0,1
1992_eatdis_deprivation,sub-44e6_assay-microstructure_cond-deprivaiton.csv,Other data,8,760,53,6.97,93.03,7.97,7.97% - 7.97%,0,1
1992_eatdis_deprivation,sub-44fa_assay-microstructure_cond-control.csv,Other data,10,800,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-44fa_assay-microstructure_cond-deprivaiton.csv,Other data,10,1490,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-46db_assay-microstructure_cond-control.csv,Other data,9,792,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-46db_assay-microstructure_cond-deprivaiton.csv,Other data,9,1260,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-4750_assay-microstructure_cond-control.csv,Other data,10,880,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-4750_assay-microstructure_cond-deprivaiton.csv,Other data,10,1950,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-4769_assay-microstructure_cond-control.csv,Other data,10,1270,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-4769_assay-microstructure_cond-deprivaiton.csv,Other data,10,2240,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-4ca4_assay-microstructure_cond-control.csv,Other data,10,1120,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-4ca4_assay-microstructure_cond-deprivaiton.csv,Other data,10,1260,8,0.63,99.37,0.71,0.71% - 0.71%,0,1
1992_eatdis_deprivation,sub-5181_assay-microstructure_cond-control.csv,Other data,10,1480,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-5181_assay-microstructure_cond-deprivaiton.csv,Other data,10,1230,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-5253_assay-microstructure_cond-control.csv,Other data,10,940,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-5253_assay-microstructure_cond-deprivaiton.csv,Other data,10,1430,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-5326_assay-microstructure_cond-control.csv,Other data,10,900,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-5326_assay-microstructure_cond-deprivaiton.csv,Other data,10,920,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-54b1_assay-microstructure_cond-control.csv,Other data,16,4816,1734,36,64,38.41,38.41% - 38.41%,0,0
1992_eatdis_deprivation,sub-54b1_assay-microstructure_cond-deprivaiton.csv,Other data,17,4114,1684,40.93,59.07,43.49,43.49% - 43.49%,0,0
1992_eatdis_deprivation,sub-5e48_assay-microstructure_cond-control.csv,Other data,10,680,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-5e48_assay-microstructure_cond-deprivaiton.csv,Other data,16,2656,990,37.27,62.73,39.76,39.76% - 39.76%,0,0
1992_eatdis_deprivation,sub-60fa_assay-microstructure_cond-control.csv,Other data,10,600,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-60fa_assay-microstructure_cond-deprivaiton.csv,Other data,10,790,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-615a_assay-microstructure_cond-control.csv,Other data,10,1620,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-615a_assay-microstructure_cond-deprivaiton.csv,Other data,10,1000,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-618a_assay-microstructure_cond-control.csv,Other data,10,590,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-618a_assay-microstructure_cond-deprivaiton.csv,Other data,10,770,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-61bd_assay-microstructure_cond-control.csv,Other data,10,900,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-61bd_assay-microstructure_cond-deprivaiton.csv,Other data,10,920,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-6517_assay-microstructure_cond-control.csv,Other data,10,600,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-6517_assay-microstructure_cond-deprivaiton.csv,Other data,10,790,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-6881_assay-microstructure_cond-control.csv,Other data,10,1620,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-6881_assay-microstructure_cond-deprivaiton.csv,Other data,10,1000,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-6da2_assay-microstructure_cond-control.csv,Other data,10,1370,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-6da2_assay-microstructure_cond-deprivaiton.csv,Other data,10,1570,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-6fad_assay-microstructure_cond-control.csv,Other data,10,2000,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-6fad_assay-microstructure_cond-deprivaiton.csv,Other data,15,4275,1380,32.28,67.72,34.59,34.59% - 34.59%,0,0
1992_eatdis_deprivation,sub-779d_assay-microstructure_cond-control.csv,Other data,10,880,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-779d_assay-microstructure_cond-deprivaiton.csv,Other data,10,1950,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-7a53_assay-microstructure_cond-control.csv,Other data,10,1270,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-7a53_assay-microstructure_cond-deprivaiton.csv,Other data,10,2240,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-7d9e_assay-microstructure_cond-control.csv,Other data,10,800,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-7d9e_assay-microstructure_cond-deprivaiton.csv,Other data,10,560,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-7eba_assay-microstructure_cond-control.csv,Other data,10,1140,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-7eba_assay-microstructure_cond-deprivaiton.csv,Other data,10,1700,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-7fab_assay-microstructure_cond-control.csv,Other data,10,1140,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-7fab_assay-microstructure_cond-deprivaiton.csv,Other data,10,900,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8a9b_assay-microstructure_cond-control.csv,Other data,10,600,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8a9b_assay-microstructure_cond-deprivaiton.csv,Other data,10,560,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8ac8_assay-microstructure_cond-control.csv,Other data,10,1800,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8ac8_assay-microstructure_cond-deprivaiton.csv,Other data,10,1840,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8b33_assay-microstructure_cond-control.csv,Other data,10,1100,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8b33_assay-microstructure_cond-deprivaiton.csv,Other data,10,970,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8dbe_assay-microstructure_cond-control.csv,Other data,9,792,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8dbe_assay-microstructure_cond-deprivaiton.csv,Other data,9,1260,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-8e0c_assay-microstructure_cond-control.csv,Other data,15,1965,650,33.08,66.92,35.44,35.44% - 35.44%,0,0
1992_eatdis_deprivation,sub-8e0c_assay-microstructure_cond-deprivaiton.csv,Other data,10,1870,0,0,100,0,0% - 0%,1,1
