study_folder,file_name,variable_name
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_perc_din
1990_sociofeed_dannys_dinner,assay-intake_data.csv,dsrt_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,fat_perc_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,friend
1990_sociofeed_dannys_dinner,assay-intake_data.csv,fullness_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,fullness_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,hunger_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,hunger_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,icecream_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,id
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lettuce_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,lowcal_dressing_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,margarine_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,meat_sauce_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,nauseous_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,nauseous_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,pro_perc_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,prosp_cons_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,prosp_cons_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,relaxed_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,relaxed_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,rest
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,roll_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sesnum
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sex
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sleepy_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sleepy_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,sorbet_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,spaghetti_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tense_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tense_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,thirst_post
1990_sociofeed_dannys_dinner,assay-intake_data.csv,thirst_pre
1990_sociofeed_dannys_dinner,assay-intake_data.csv,time
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,tomato_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_cho_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_fat_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_pro
