study_folder,file_name,file_path,file_type,variable_name,variable_group,data_group
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_odor_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_odor_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_odor_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_odor_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_texture_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_texture_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_texture_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_texture_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_texture_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_texture_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_texture_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_texture_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_taste_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_taste_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_taste_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_taste_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_taste_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_taste_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_taste_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_taste_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_desire_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_desire_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_desire_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_desire_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_desire_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_desire_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_desire_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,dif_desire_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,uneaten_appearance,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,uneaten_odor,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,uneaten_texture,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,uneaten_taste,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",other,uneaten_desire,questionnaire,Questionnaire data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,hunger_pre,questionnaire,Questionnaire data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,hunger_post,questionnaire,Questionnaire data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,fullness_pre,questionnaire,Questionnaire data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,fullness_post,questionnaire,Questionnaire data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,nauseous_pre,questionnaire,Questionnaire data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,nauseous_post,questionnaire,Questionnaire data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,spaghetti_cal,intake,Intake variables
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,spaghetti_fat,macronutrient,Macronutrient data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,spaghetti_cho,macronutrient,Macronutrient data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,spaghetti_pro,macronutrient,Macronutrient data
1990_sociofeed_dannys_dinner,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",intake,meat_sauce_cal,intake,Intake variables
